buyer_name,supplier_name,hsn_code,product_description,import_country,export_country,trade_date,quantity
ArcelorMittal,BHP Group,2701,Hard coking coal supply,Luxembourg,Australia,2024-02-16,320000
ArcelorMittal,Linde PLC,2804,Oxygen nitrogen industrial,Luxembourg,Ireland,2024-03-22,15000
Vale SA,Glencore,2603,Nickel sulphide concentrate,Brazil,Switzerland,2024-01-18,28000
Vale SA,Ferroglobe,2202,Silica feedstock manganese,Brazil,United Kingdom,2024-02-24,15000
BHP Group,Wesfarmers,2701,Coal mining equipment parts,Australia,Australia,2024-03-15,8500
BHP Group,Orica Ltd,3602,Mining explosives ANFO,Australia,Australia,2024-04-20,95000
Rio Tinto,Caterpillar Inc,8429,Mining haul truck parts,Australia,United States,2024-01-22,420
Rio Tinto,Komatsu Ltd,8429,Ultra-class dump trucks,Australia,Japan,2024-02-28,35
DHL Supply Chain,Jungheinrich,8427,Electric forklift truck,Germany,Germany,2024-03-08,850
DHL Supply Chain,Swisslog,8428,Automated storage system,Germany,Switzerland,2024-04-12,12
DHL Supply Chain,Zebra Tech,8471,Warehouse barcode scanners,Germany,United States,2024-01-30,4500
Maersk Line,MAN Energy,8408,Marine two-stroke engines,Denmark,Germany,2024-02-05,8
Maersk Line,Wartsila Corp,8408,Auxiliary marine engines,Denmark,Finland,2024-03-18,22
Maersk Line,Kongsberg Maritime,8526,Vessel navigation systems,Denmark,Norway,2024-04-15,35
POSCO Holdings,Nippon Steel,7202,Specialty alloy additions,South Korea,Japan,2024-01-08,18500
POSCO Holdings,Air Products,2804,High-purity hydrogen gas,South Korea,United States,2024-02-12,8500
POSCO Holdings,SMS Group,8455,Continuous caster equipment,South Korea,Germany,2024-03-20,6
LG Electronics,Winia Mando,8418,Refrigerator compressor parts,South Korea,South Korea,2024-01-15,220000
LG Electronics,Toray Ind,5402,Carbon fiber reinforced sheet,South Korea,Japan,2024-02-22,8500
LG Electronics,Corning Inc,7007,OLED glass substrate supply,South Korea,United States,2024-03-28,350000
Samsung SDI,Umicore,8106,NMC cathode precursor,South Korea,Belgium,2024-01-20,9500
Samsung SDI,Shanshan Corp,2804,Natural graphite anode,South Korea,China,2024-02-26,12000
Samsung SDI,Solvay SA,2827,PVDF binder material,South Korea,Belgium,2024-04-04,3800
TSMC,Applied Materials,8486,CVD deposition equipment,Taiwan,United States,2024-01-10,42
TSMC,Tokyo Electron,8486,Etch process equipment,Taiwan,Japan,2024-02-16,28
TSMC,Air Liquide,2804,Ultra-pure gas supply,Taiwan,France,2024-03-22,8500
Ganfeng Lithium,Pilbara Minerals,2603,Spodumene lithium ore,China,Australia,2024-01-12,85000
Ganfeng Lithium,Sigma Lithium,2836,Lithium hydroxide monohydrate,China,Brazil,2024-02-18,12000
Glencore,Katanga Mining,2605,Cobalt hydroxide cake,Switzerland,Congo,2024-03-10,8500
Glencore,Volcan Cia Minera,2608,Zinc lead concentrate,Switzerland,Peru,2024-04-15,22000
BASF SE,Lyondell Basell,2901,Ethylene polymer feedstock,Germany,Netherlands,2024-01-24,48000
BASF SE,Evonik Ind,2921,Specialty amine chemicals,Germany,Germany,2024-02-28,12000
BASF SE,Sabic,2901,Propylene chemical base,Germany,Saudi Arabia,2024-03-18,35000
Covestro AG,Huntsman Corp,2929,MDI isocyanate chemical,Germany,United States,2024-01-16,18000
Covestro AG,INEOS Group,2712,Chlorine chemical supply,Germany,United Kingdom,2024-02-22,8500
Umicore,Freeport McMoRan,2603,Copper anode scrap,Belgium,United States,2024-03-14,15000
Umicore,Aurubis AG,2603,Secondary copper refinery,Belgium,Germany,2024-04-18,22000
Furukawa Electric,Sumitomo Corp,7408,Electrolytic copper rod,Japan,Japan,2024-01-18,35000
Furukawa Electric,Mitsui Mining,2617,Copper ore concentrate,Japan,Japan,2024-02-24,18000
Shin-Etsu Chemical,Wacker Chemie,2804,Semiconductor silicon,Japan,Germany,2024-03-20,8500
Shin-Etsu Chemical,Momentive,2835,Silica fume chemical,Japan,United States,2024-04-10,12000
Larsen & Toubro,BHEL,8502,Power plant generators,India,India,2024-01-20,24
Larsen & Toubro,Thermax Ltd,8419,Industrial heat recovery,India,India,2024-02-26,85
Larsen & Toubro,Cummins India,8408,Diesel generator sets,India,United States,2024-03-15,420
Bharat Forge,Sandvik AB,8207,Forging die tooling sets,India,Sweden,2024-01-26,350
Bharat Forge,Outotec,8419,Sintering plant equipment,India,Finland,2024-03-02,8
NMDC Ltd,Atlas Copco,8430,Drill rock boring rigs,India,Sweden,2024-02-08,42
NMDC Ltd,Howden Group,8414,Mining ventilation fans,India,United Kingdom,2024-03-25,85
JSW Steel,Paul Wurth,8454,Blast furnace equipment,India,Luxembourg,2024-01-15,4
JSW Steel,Primetals Tech,8455,Slab caster equipment,India,Japan,2024-02-20,3
Olam International,Syngenta AG,3808,Agricultural input seeds,Singapore,Switzerland,2024-01-22,8500
Olam International,Yara Intl,3102,Nitrogen fertilizer CAN,Singapore,Norway,2024-02-28,45000
Barry Callebaut,Cargill,1801,Fermented cocoa beans,Belgium,Ivory Coast,2024-03-12,18000
Barry Callebaut,ADM,1507,Refined cocoa butter fat,Belgium,United States,2024-04-08,5500
Givaudan SA,Firmenich,3302,Aroma ingredient blend,Switzerland,Switzerland,2024-01-28,850
Givaudan SA,Symrise AG,3302,Natural extract compounds,Switzerland,Germany,2024-02-18,1200
Wilmar Intl,IOI Group,1511,Crude palm kernel oil,Singapore,Malaysia,2024-03-05,65000
Wilmar Intl,Sime Darby,1511,Refined bleached palm oil,Singapore,Malaysia,2024-04-12,48000
Celanese Corp,Eastman Chemical,2905,Acetic acid glacial pure,United States,United States,2024-01-10,28000
Celanese Corp,LyondellBasell,2901,Ethylene vinyl acetate,United States,Netherlands,2024-02-15,18000
Air Products,Linde PLC,8419,Cryogenic process equipment,United States,Ireland,2024-03-20,12
Air Products,Chart Industries,8419,LNG heat exchanger unit,United States,United States,2024-04-15,28
Linde PLC,Chemours Co,2812,Fluorochemical precursor,Ireland,United States,2024-02-10,4500
Samsung Biologics,Lonza Group,2941,Cell culture bioreactor,South Korea,Switzerland,2024-03-05,8
Samsung Biologics,Eppendorf AG,3821,Laboratory consumables bio,South Korea,Germany,2024-04-10,85000
Valeo SA,Sumitomo Elec,8544,Automotive wire harness,France,Japan,2024-01-25,38000
Valeo SA,Aluminum Corp China,7601,Wrought aluminum coils,France,China,2024-02-28,18000
Faurecia,Treves Group,5513,Textile seat trim fabric,France,France,2024-03-18,350000
Faurecia,Novelis Inc,7606,Aluminum sheet alloys,France,United States,2024-04-20,12000
Kongsberg Maritime,Rolls-Royce Marine,8412,Marine propulsion thrusters,Norway,United Kingdom,2024-01-20,42
Kongsberg Maritime,Wärtsila Corp,8526,Dynamic positioning systems,Norway,Finland,2024-02-25,18
Wartsila Corp,SKF Group,8482,High-load marine bearings,Finland,Sweden,2024-03-10,12000
Wartsila Corp,Parker Hannifin,8481,Hydraulic valve systems,Finland,United States,2024-04-15,8500
SKF Group,Ovako AB,7228,Bearing quality steel bar,Sweden,Sweden,2024-01-15,18000
SKF Group,Sandvik AB,8207,Precision grinding wheels,Sweden,Sweden,2024-02-20,4500
Sandvik AB,Kennametal,8207,Cemented carbide inserts,Sweden,United States,2024-03-25,28000
Atlas Copco,Oerlikon Corp,8414,Vacuum pump systems,Sweden,Switzerland,2024-04-05,350
Atlas Copco,Trelleborg AB,4016,Industrial sealing rings,Sweden,Sweden,2024-02-05,85000
Caterpillar Inc,Sun Chemical,3212,Industrial paint coatings,United States,United States,2024-01-22,12000
Caterpillar Inc,Timken Co,8482,Tapered roller bearings,United States,United States,2024-03-08,85000
Komatsu Ltd,Nippon Steel,7216,Wide-flange structural beam,Japan,Japan,2024-02-12,28000
Komatsu Ltd,NOK Corp,4016,Oil seal gasket sets,Japan,Japan,2024-03-22,350000
Honeywell Intl,Sensata Tech,8543,Industrial pressure sensors,United States,United States,2024-01-28,185000
Honeywell Intl,Ametek Inc,9026,Flow measuring instruments,United States,United States,2024-02-28,42000
Applied Materials,Entegris Inc,8486,High-purity process parts,United States,United States,2024-03-15,85000
Applied Materials,Mattson Tech,8486,Thermal processing systems,United States,United States,2024-04-18,18
